model,cntr,crop,component,dln
ec-earth3,FI,Soft wheat,precip_mj,0.0402392457674246
ipsl-cm6a-lr,FI,Soft wheat,precip_mj,0.0129359486839027
ec-earth3,FR,Soft wheat,precip_mj,0.00100042445774853
ipsl-cm6a-lr,FR,Soft wheat,precip_mj,0.0128013717862525
ec-earth3,HU,Soft wheat,precip_mj,0.0288860127818245
ipsl-cm6a-lr,HU,Soft wheat,precip_mj,0.00572649966239585
ec-earth3,IT,Soft wheat,precip_mj,0.00778547920310224
ipsl-cm6a-lr,IT,Soft wheat,precip_mj,-0.0180400321534134
ec-earth3,LT,Soft wheat,precip_mj,0.0582514833853212
ipsl-cm6a-lr,LT,Soft wheat,precip_mj,-0.0020591618715298
ec-earth3,LV,Soft wheat,precip_mj,0.0593999827047751
ipsl-cm6a-lr,LV,Soft wheat,precip_mj,-0.00536888362897645
ec-earth3,RO,Soft wheat,precip_mj,0.0423195084518908
ipsl-cm6a-lr,RO,Soft wheat,precip_mj,0.0173025019417218
ec-earth3,SE,Soft wheat,precip_mj,0.0720739450219371
ipsl-cm6a-lr,SE,Soft wheat,precip_mj,0.020541236450713
ec-earth3,SK,Soft wheat,precip_mj,0.0399507843703996
ipsl-cm6a-lr,SK,Soft wheat,precip_mj,0.0215015499369077
ec-earth3,EL,Durum wheat,precip_mj,0.0171286928497228
ipsl-cm6a-lr,EL,Durum wheat,precip_mj,-0.00445670013512114
ec-earth3,ES,Durum wheat,precip_mj,-0.0208568077744323
ipsl-cm6a-lr,ES,Durum wheat,precip_mj,-0.0479281505188493
ec-earth3,FR,Durum wheat,precip_mj,-0.0106200425840899
ipsl-cm6a-lr,FR,Durum wheat,precip_mj,-0.00893393166766893
ec-earth3,HU,Durum wheat,precip_mj,0.0358810765561193
ipsl-cm6a-lr,HU,Durum wheat,precip_mj,0.00375072897104655
ec-earth3,IT,Durum wheat,precip_mj,-0.00533501406845097
ipsl-cm6a-lr,IT,Durum wheat,precip_mj,-0.0164971677537564
ec-earth3,RO,Durum wheat,precip_mj,0.0514570217683824
ipsl-cm6a-lr,RO,Durum wheat,precip_mj,0.0185797826557172
ec-earth3,SK,Durum wheat,precip_mj,0.0474713650291234
ipsl-cm6a-lr,SK,Durum wheat,precip_mj,0.0284485686990178
ec-earth3,CZ,Spring barley,precip_mj,0.039638940637597
ipsl-cm6a-lr,CZ,Spring barley,precip_mj,0.011344979501688
ec-earth3,DE,Spring barley,precip_mj,0.0292537487982595
ipsl-cm6a-lr,DE,Spring barley,precip_mj,0.0277409385405777
ec-earth3,DK,Spring barley,precip_mj,0.0325300311305691
ipsl-cm6a-lr,DK,Spring barley,precip_mj,0.0229775826244088
ec-earth3,EE,Spring barley,precip_mj,0.068525238245007
ipsl-cm6a-lr,EE,Spring barley,precip_mj,0.00259010649027269
ec-earth3,ES,Spring barley,precip_mj,-0.0281391399632943
ipsl-cm6a-lr,ES,Spring barley,precip_mj,-0.0281938112193444
ec-earth3,FI,Spring barley,precip_mj,0.0608730586473347
ipsl-cm6a-lr,FI,Spring barley,precip_mj,0.0187944136611325
ec-earth3,FR,Spring barley,precip_mj,0.00714959979067941
ipsl-cm6a-lr,FR,Spring barley,precip_mj,0.01288134375806
ec-earth3,HU,Spring barley,precip_mj,0.0384799985231374
ipsl-cm6a-lr,HU,Spring barley,precip_mj,0.0110720462477217
ec-earth3,LT,Spring barley,precip_mj,0.0733067498419073
ipsl-cm6a-lr,LT,Spring barley,precip_mj,-0.00272526172658975
ec-earth3,LV,Spring barley,precip_mj,0.0755443741165414
ipsl-cm6a-lr,LV,Spring barley,precip_mj,-0.00689206577715914
ec-earth3,SE,Spring barley,precip_mj,0.0922127390082507
ipsl-cm6a-lr,SE,Spring barley,precip_mj,0.0260954501268499
ec-earth3,SK,Spring barley,precip_mj,0.048993453101303
ipsl-cm6a-lr,SK,Spring barley,precip_mj,0.0273387078834107
ec-earth3,CZ,Winter barley,precip_mj,0.0317737861289915
ipsl-cm6a-lr,CZ,Winter barley,precip_mj,0.00920279418093672
ec-earth3,DE,Winter barley,precip_mj,0.0235759902469524
ipsl-cm6a-lr,DE,Winter barley,precip_mj,0.0195936941275283
ec-earth3,DK,Winter barley,precip_mj,0.0285874736127209
ipsl-cm6a-lr,DK,Winter barley,precip_mj,0.0190252889904961
ec-earth3,EE,Winter barley,precip_mj,0.0550554934095103
ipsl-cm6a-lr,EE,Winter barley,precip_mj,0.00232478151626197
ec-earth3,EL,Winter barley,precip_mj,0.0110494969664645
ipsl-cm6a-lr,EL,Winter barley,precip_mj,-0.00625474368856665
ec-earth3,ES,Winter barley,precip_mj,-0.023365577131847
ipsl-cm6a-lr,ES,Winter barley,precip_mj,-0.0249750939776812
ec-earth3,FR,Winter barley,precip_mj,0.00433069410013468
ipsl-cm6a-lr,FR,Winter barley,precip_mj,0.0103407203185412
ec-earth3,HU,Winter barley,precip_mj,0.0286239816424444
ipsl-cm6a-lr,HU,Winter barley,precip_mj,0.00400228633147906
ec-earth3,IT,Winter barley,precip_mj,0.00274098991479068
ipsl-cm6a-lr,IT,Winter barley,precip_mj,-0.0161407392092275
ec-earth3,LT,Winter barley,precip_mj,0.0603753647369304
