model,bin_id,delta_sv,n_years,cntr,crop,component,dln
HadGEM3-GC3-1MM,-5.5,-5.3528,4,EE,Soft wheat,gdd_mj,0.0491272211879602
HadGEM3-GC3-1MM,-4.5,-4.3969,4,EE,Soft wheat,gdd_mj,0.0437612730120546
IPSL-CM6A-LR,-9.5,-9.3401,5,EE,Soft wheat,gdd_mj,0.0951664140541096
IPSL-CM6A-LR,-8.5,-8.4598,8,EE,Soft wheat,gdd_mj,0.104013470131567
IPSL-CM6A-LR,-7.5,-7.5255,19,EE,Soft wheat,gdd_mj,0.0903241181386526
IPSL-CM6A-LR,-6.5,-6.5577,11,EE,Soft wheat,gdd_mj,0.09716361201898
IPSL-CM6A-LR,-5.5,-5.5623,13,EE,Soft wheat,gdd_mj,0.0575970349043371
IPSL-CM6A-LR,-4.5,-4.3507,11,EE,Soft wheat,gdd_mj,0.0574745406844801
IPSL-CM6A-LR,-3.5,-3.4644,8,EE,Soft wheat,gdd_mj,0.04364550165805
IPSL-CM6A-LR,-2.5,-2.5669,9,EE,Soft wheat,gdd_mj,0.0297822134027688
IPSL-CM6A-LR,-1.5,-1.2909,6,EE,Soft wheat,gdd_mj,0.033659167116288
IPSL-CM6A-LR,-0.5,-0.6347,8,EE,Soft wheat,gdd_mj,0.00695598448257146
EC-Earth3,-9.5,-9.1554,4,EL,Soft wheat,gdd_mj,0.0613831698351299
EC-Earth3,-8.5,-8.4726,15,EL,Soft wheat,gdd_mj,0.0913223952368508
EC-Earth3,-7.5,-7.5562,20,EL,Soft wheat,gdd_mj,0.0725154755859227
EC-Earth3,-6.5,-6.4767,21,EL,Soft wheat,gdd_mj,0.0551854960387122
EC-Earth3,-5.5,-5.3342,8,EL,Soft wheat,gdd_mj,0.0557570206310365
EC-Earth3,-4.5,-4.5495,8,EL,Soft wheat,gdd_mj,0.0402999260866571
EC-Earth3,-3.5,-3.3459,9,EL,Soft wheat,gdd_mj,0.0551308325614219
EC-Earth3,-2.5,-2.4493,5,EL,Soft wheat,gdd_mj,0.0378262533096622
EC-Earth3,-1.5,-1.3807,6,EL,Soft wheat,gdd_mj,0.019210101509898
EC-Earth3,-0.5,-0.6596,3,EL,Soft wheat,gdd_mj,-0.00353131386413712
HadGEM3-GC3-1LL,-8.5,-8.3848,12,EL,Soft wheat,gdd_mj,0.0659929804722998
HadGEM3-GC3-1LL,-7.5,-7.5599,19,EL,Soft wheat,gdd_mj,0.0493773306722891
HadGEM3-GC3-1LL,-6.5,-6.5442,24,EL,Soft wheat,gdd_mj,0.0648031354014598
HadGEM3-GC3-1LL,-5.5,-5.5797,10,EL,Soft wheat,gdd_mj,0.0300271999287546
HadGEM3-GC3-1LL,-4.5,-4.5263,6,EL,Soft wheat,gdd_mj,0.0553757568200857
HadGEM3-GC3-1LL,-3.5,-3.7835,7,EL,Soft wheat,gdd_mj,0.0350909406902421
HadGEM3-GC3-1LL,-2.5,-2.4504,6,EL,Soft wheat,gdd_mj,0.0280770474681982
HadGEM3-GC3-1LL,-1.5,-1.3098,8,EL,Soft wheat,gdd_mj,0.00101236919954603
HadGEM3-GC3-1LL,-0.5,-0.331,6,EL,Soft wheat,gdd_mj,0.0144081892449396
HadGEM3-GC3-1MM,-14.5,-14.3032,4,EL,Soft wheat,gdd_mj,0.091351961901449
HadGEM3-GC3-1MM,-13.5,-13.3931,8,EL,Soft wheat,gdd_mj,0.0965893997617141
HadGEM3-GC3-1MM,-12.5,-12.588,13,EL,Soft wheat,gdd_mj,0.0996509014692931
HadGEM3-GC3-1MM,-11.5,-11.5321,21,EL,Soft wheat,gdd_mj,0.0893533688382225
HadGEM3-GC3-1MM,-10.5,-10.4803,10,EL,Soft wheat,gdd_mj,0.0846819842595046
HadGEM3-GC3-1MM,-9.5,-9.6161,7,EL,Soft wheat,gdd_mj,0.0581110880326614
HadGEM3-GC3-1MM,-8.5,-8.6582,7,EL,Soft wheat,gdd_mj,0.0513100119702017
HadGEM3-GC3-1MM,-7.5,-7.6345,8,EL,Soft wheat,gdd_mj,0.0674651950184141
HadGEM3-GC3-1MM,-6.5,-6.4299,4,EL,Soft wheat,gdd_mj,0.0345471028765554
HadGEM3-GC3-1MM,-5.5,-5.3528,4,EL,Soft wheat,gdd_mj,0.0268639990017525
HadGEM3-GC3-1MM,-4.5,-4.3969,4,EL,Soft wheat,gdd_mj,0.0169778090163836
IPSL-CM6A-LR,-9.5,-9.3401,5,EL,Soft wheat,gdd_mj,0.0886299254602209
IPSL-CM6A-LR,-8.5,-8.4598,8,EL,Soft wheat,gdd_mj,0.0578801277117435
IPSL-CM6A-LR,-7.5,-7.5255,19,EL,Soft wheat,gdd_mj,0.0571673957854568
IPSL-CM6A-LR,-6.5,-6.5577,11,EL,Soft wheat,gdd_mj,0.055312835035875
IPSL-CM6A-LR,-5.5,-5.5623,13,EL,Soft wheat,gdd_mj,0.0258708580231628
IPSL-CM6A-LR,-4.5,-4.3507,11,EL,Soft wheat,gdd_mj,0.0337382607493208
IPSL-CM6A-LR,-3.5,-3.4644,8,EL,Soft wheat,gdd_mj,0.0237485124746957
IPSL-CM6A-LR,-2.5,-2.5669,9,EL,Soft wheat,gdd_mj,0.0170210830297872
IPSL-CM6A-LR,-1.5,-1.2909,6,EL,Soft wheat,gdd_mj,0.022817916587741
IPSL-CM6A-LR,-0.5,-0.6347,8,EL,Soft wheat,gdd_mj,-0.0185000866924799
EC-Earth3,-9.5,-9.1554,4,ES,Soft wheat,gdd_mj,0.0824628848199547
EC-Earth3,-8.5,-8.4726,15,ES,Soft wheat,gdd_mj,0.0723292632171434
EC-Earth3,-7.5,-7.5562,20,ES,Soft wheat,gdd_mj,0.0634382426899156
EC-Earth3,-6.5,-6.4767,21,ES,Soft wheat,gdd_mj,0.0384142916637767
EC-Earth3,-5.5,-5.3342,8,ES,Soft wheat,gdd_mj,0.0471093721707502
EC-Earth3,-4.5,-4.5495,8,ES,Soft wheat,gdd_mj,0.0238198743773262
EC-Earth3,-3.5,-3.3459,9,ES,Soft wheat,gdd_mj,0.0583598905103022
EC-Earth3,-2.5,-2.4493,5,ES,Soft wheat,gdd_mj,0.0198154885679579
EC-Earth3,-1.5,-1.3807,6,ES,Soft wheat,gdd_mj,0.0292387814328603
EC-Earth3,-0.5,-0.6596,3,ES,Soft wheat,gdd_mj,-0.00728584210964375
HadGEM3-GC3-1LL,-8.5,-8.3848,12,ES,Soft wheat,gdd_mj,0.0597170210070798
HadGEM3-GC3-1LL,-7.5,-7.5599,19,ES,Soft wheat,gdd_mj,0.0565139929748943
HadGEM3-GC3-1LL,-6.5,-6.5442,24,ES,Soft wheat,gdd_mj,0.056154988144169
HadGEM3-GC3-1LL,-5.5,-5.5797,10,ES,Soft wheat,gdd_mj,0.0431945534928779
HadGEM3-GC3-1LL,-4.5,-4.5263,6,ES,Soft wheat,gdd_mj,0.0255174508801507
HadGEM3-GC3-1LL,-3.5,-3.7835,7,ES,Soft wheat,gdd_mj,0.0367411645790273
HadGEM3-GC3-1LL,-2.5,-2.4504,6,ES,Soft wheat,gdd_mj,0.0328809373019084
HadGEM3-GC3-1LL,-1.5,-1.3098,8,ES,Soft wheat,gdd_mj,0.0145496938281186
HadGEM3-GC3-1LL,-0.5,-0.331,6,ES,Soft wheat,gdd_mj,0.00066975382032139
HadGEM3-GC3-1MM,-14.5,-14.3032,4,ES,Soft wheat,gdd_mj,0.136462139628758
HadGEM3-GC3-1MM,-13.5,-13.3931,8,ES,Soft wheat,gdd_mj,0.154832121691831
HadGEM3-GC3-1MM,-12.5,-12.588,13,ES,Soft wheat,gdd_mj,0.120270471401998
HadGEM3-GC3-1MM,-11.5,-11.5321,21,ES,Soft wheat,gdd_mj,0.0960089756519338
HadGEM3-GC3-1MM,-10.5,-10.4803,10,ES,Soft wheat,gdd_mj,0.0744539522742376
HadGEM3-GC3-1MM,-9.5,-9.6161,7,ES,Soft wheat,gdd_mj,0.0903658167970574
HadGEM3-GC3-1MM,-8.5,-8.6582,7,ES,Soft wheat,gdd_mj,0.0581116588193663
HadGEM3-GC3-1MM,-7.5,-7.6345,8,ES,Soft wheat,gdd_mj,0.0432591213227203
HadGEM3-GC3-1MM,-6.5,-6.4299,4,ES,Soft wheat,gdd_mj,0.0400124677878366
HadGEM3-GC3-1MM,-5.5,-5.3528,4,ES,Soft wheat,gdd_mj,0.0381684984823236
HadGEM3-GC3-1MM,-4.5,-4.3969,4,ES,Soft wheat,gdd_mj,0.0111328781097199
IPSL-CM6A-LR,-9.5,-9.3401,5,ES,Soft wheat,gdd_mj,0.0870172425159109
IPSL-CM6A-LR,-8.5,-8.4598,8,ES,Soft wheat,gdd_mj,0.0868434454648012
IPSL-CM6A-LR,-7.5,-7.5255,19,ES,Soft wheat,gdd_mj,0.0649816273111245
IPSL-CM6A-LR,-6.5,-6.5577,11,ES,Soft wheat,gdd_mj,0.0637635960799756
IPSL-CM6A-LR,-5.5,-5.5623,13,ES,Soft wheat,gdd_mj,0.0581480700005156
IPSL-CM6A-LR,-4.5,-4.3507,11,ES,Soft wheat,gdd_mj,0.0230752692209294
IPSL-CM6A-LR,-3.5,-3.4644,8,ES,Soft wheat,gdd_mj,0.0145799809571234
IPSL-CM6A-LR,-2.5,-2.5669,9,ES,Soft wheat,gdd_mj,0.0294615568823107
IPSL-CM6A-LR,-1.5,-1.2909,6,ES,Soft wheat,gdd_mj,0.0355055586695069
IPSL-CM6A-LR,-0.5,-0.6347,8,ES,Soft wheat,gdd_mj,-0.00522810292823969
EC-Earth3,-9.5,-9.1554,4,FI,Soft wheat,gdd_mj,0.0613961241060273
EC-Earth3,-8.5,-8.4726,15,FI,Soft wheat,gdd_mj,0.0603865114701658
EC-Earth3,-7.5,-7.5562,20,FI,Soft wheat,gdd_mj,0.0524071703252047
EC-Earth3,-6.5,-6.4767,21,FI,Soft wheat,gdd_mj,0.0285083638781332
EC-Earth3,-5.5,-5.3342,8,FI,Soft wheat,gdd_mj,0.0343322915692464
EC-Earth3,-4.5,-4.5495,8,FI,Soft wheat,gdd_mj,0.0714319580874908
EC-Earth3,-3.5,-3.3459,9,FI,Soft wheat,gdd_mj,0.0653148661797172
EC-Earth3,-2.5,-2.4493,5,FI,Soft wheat,gdd_mj,0.0599676516788986
EC-Earth3,-1.5,-1.3807,6,FI,Soft wheat,gdd_mj,0.00823120009636308
EC-Earth3,-0.5,-0.6596,3,FI,Soft wheat,gdd_mj,0.0128957488995185
HadGEM3-GC3-1LL,-8.5,-8.3848,12,FI,Soft wheat,gdd_mj,0.0494558018722162
HadGEM3-GC3-1LL,-7.5,-7.5599,19,FI,Soft wheat,gdd_mj,0.0486976972817238
HadGEM3-GC3-1LL,-6.5,-6.5442,24,FI,Soft wheat,gdd_mj,0.0477245934786917
HadGEM3-GC3-1LL,-5.5,-5.5797,10,FI,Soft wheat,gdd_mj,0.0366791171853774
HadGEM3-GC3-1LL,-4.5,-4.5263,6,FI,Soft wheat,gdd_mj,0.0274167819192805
HadGEM3-GC3-1LL,-3.5,-3.7835,7,FI,Soft wheat,gdd_mj,0.0412224227371051
