model,bin_id,delta_sv,n_years,hos_year,fuel,component,dln,branch
IPSL-CM6A-LR,-7.5,-7.0038,1,60,Electricity,cdd_jja,0.00267897199366678,energy Electricity
IPSL-CM6A-LR,-7.5,-7.4198,1,61,Electricity,cdd_jja,-0.00523982672806136,energy Electricity
IPSL-CM6A-LR,-6.5,-6.1575,1,62,Electricity,cdd_jja,-0.00352627677738966,energy Electricity
IPSL-CM6A-LR,-7.5,-7.0646,1,63,Electricity,cdd_jja,-0.0031378821373272,energy Electricity
IPSL-CM6A-LR,-5.5,-5.9699,1,64,Electricity,cdd_jja,-0.00496644793078445,energy Electricity
IPSL-CM6A-LR,-6.5,-6.6177,1,65,Electricity,cdd_jja,-0.0110778632822987,energy Electricity
IPSL-CM6A-LR,-6.5,-6.4034,1,66,Electricity,cdd_jja,-0.00634110683124821,energy Electricity
IPSL-CM6A-LR,-7.5,-7.4208,1,67,Electricity,cdd_jja,-0.0068192868322402,energy Electricity
IPSL-CM6A-LR,-6.5,-6.7989,1,68,Electricity,cdd_jja,-0.00712980590416798,energy Electricity
IPSL-CM6A-LR,-7.5,-7.6028,1,69,Electricity,cdd_jja,-0.00592724597365518,energy Electricity
IPSL-CM6A-LR,-7.5,-7.1661,1,70,Electricity,cdd_jja,-0.00255583034959459,energy Electricity
IPSL-CM6A-LR,-7.5,-7.4013,1,71,Electricity,cdd_jja,-0.00777537574664799,energy Electricity
IPSL-CM6A-LR,-7.5,-7.6406,1,72,Electricity,cdd_jja,-0.00732631134758946,energy Electricity
IPSL-CM6A-LR,-6.5,-6.5805,1,73,Electricity,cdd_jja,-0.0063177734077224,energy Electricity
IPSL-CM6A-LR,-7.5,-7.7579,1,74,Electricity,cdd_jja,-0.00507595629518334,energy Electricity
IPSL-CM6A-LR,-7.5,-7.9349,1,75,Electricity,cdd_jja,-0.00986974932487758,energy Electricity
IPSL-CM6A-LR,-7.5,-7.941,1,76,Electricity,cdd_jja,-0.0106468383946196,energy Electricity
IPSL-CM6A-LR,-8.5,-8.2695,1,77,Electricity,cdd_jja,-0.0102745669364846,energy Electricity
IPSL-CM6A-LR,-7.5,-7.5299,1,78,Electricity,cdd_jja,-0.00503729586193333,energy Electricity
IPSL-CM6A-LR,-6.5,-6.2088,1,79,Electricity,cdd_jja,-0.00793831963066759,energy Electricity
IPSL-CM6A-LR,-7.5,-7.6756,1,80,Electricity,cdd_jja,-0.00853983841331803,energy Electricity
IPSL-CM6A-LR,-6.5,-6.6415,1,81,Electricity,cdd_jja,-0.0048435745253587,energy Electricity
IPSL-CM6A-LR,-8.5,-8.0555,1,82,Electricity,cdd_jja,-0.00638606340543043,energy Electricity
IPSL-CM6A-LR,-7.5,-7.3084,1,84,Electricity,cdd_jja,-0.00891306109567526,energy Electricity
IPSL-CM6A-LR,-9.5,-9.384,1,85,Electricity,cdd_jja,-0.0075102769938793,energy Electricity
IPSL-CM6A-LR,-7.5,-7.4004,1,86,Electricity,cdd_jja,-0.0104139058070283,energy Electricity
IPSL-CM6A-LR,-8.5,-8.3239,1,87,Electricity,cdd_jja,-0.00853707299902559,energy Electricity
IPSL-CM6A-LR,-7.5,-7.7418,1,88,Electricity,cdd_jja,-0.00556143977586866,energy Electricity
IPSL-CM6A-LR,-9.5,-9.1721,1,89,Electricity,cdd_jja,-0.00759002069853553,energy Electricity
IPSL-CM6A-LR,-8.5,-8.5532,1,90,Electricity,cdd_jja,-0.0103555043845945,energy Electricity
IPSL-CM6A-LR,-9.5,-9.0631,1,91,Electricity,cdd_jja,-0.00764474011328522,energy Electricity
IPSL-CM6A-LR,-9.5,-9.9064,1,92,Electricity,cdd_jja,-0.0107003675298344,energy Electricity
IPSL-CM6A-LR,-7.5,-7.5646,1,93,Electricity,cdd_jja,-0.00698396351317909,energy Electricity
IPSL-CM6A-LR,-8.5,-8.6305,1,94,Electricity,cdd_jja,-0.00943006221070951,energy Electricity
IPSL-CM6A-LR,-9.5,-9.1749,1,95,Electricity,cdd_jja,-0.00854419599905727,energy Electricity
IPSL-CM6A-LR,-7.5,-7.8759,1,96,Electricity,cdd_jja,-0.00483182791376939,energy Electricity
IPSL-CM6A-LR,-6.5,-6.2615,1,97,Electricity,cdd_jja,-0.00494956720809418,energy Electricity
IPSL-CM6A-LR,-8.5,-8.9677,1,98,Electricity,cdd_jja,-0.00904257447845334,energy Electricity
IPSL-CM6A-LR,-8.5,-8.8657,1,99,Electricity,cdd_jja,-0.00382613024750836,energy Electricity
IPSL-CM6A-LR,-6.5,-6.9036,1,100,Electricity,cdd_jja,-0.00778299819329925,energy Electricity
IPSL-CM6A-LR,-0.5,-0.7613,1,1,Natural gas,hdd_octmar,-0.03854151851171,energy Natural gas
IPSL-CM6A-LR,-0.5,-0.9061,1,2,Natural gas,hdd_octmar,-0.0166156867117654,energy Natural gas
IPSL-CM6A-LR,-2.5,-2.1752,1,3,Natural gas,hdd_octmar,0.0290215135150091,energy Natural gas
IPSL-CM6A-LR,-0.5,-0.979,1,5,Natural gas,hdd_octmar,-0.00922700710134606,energy Natural gas
IPSL-CM6A-LR,-1.5,-1.6221,1,6,Natural gas,hdd_octmar,0.000183518098833902,energy Natural gas
IPSL-CM6A-LR,-1.5,-1.1701,1,7,Natural gas,hdd_octmar,0.0127106051506345,energy Natural gas
IPSL-CM6A-LR,-0.5,-0.5998,1,8,Natural gas,hdd_octmar,0.0113204713510601,energy Natural gas
IPSL-CM6A-LR,-0.5,-0.1997,1,9,Natural gas,hdd_octmar,0.016572688882602,energy Natural gas
