model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-4.5,-4.5546,8,FI,Spring barley,gdd_mj,-0.321736294206672
EC-Earth3,-3.5,-3.4737,8,FI,Spring barley,gdd_mj,-0.412999444254107
EC-Earth3,-2.5,-2.5448,11,FI,Spring barley,gdd_mj,-0.262794500321664
IPSL-CM6A-LR,-5.5,-5.3985,4,FI,Spring barley,gdd_mj,-0.383972703040695
IPSL-CM6A-LR,-4.5,-4.3046,12,FI,Spring barley,gdd_mj,-0.336013260027244
IPSL-CM6A-LR,-3.5,-3.5013,7,FI,Spring barley,gdd_mj,-0.338204606236265
IPSL-CM6A-LR,-2.5,-2.2964,6,FI,Spring barley,gdd_mj,-0.230589354950594
EC-Earth3,-4.5,-4.5546,8,FR,Spring barley,gdd_mj,-0.351056170660768
EC-Earth3,-3.5,-3.4737,8,FR,Spring barley,gdd_mj,-0.396745087238411
EC-Earth3,-2.5,-2.5448,11,FR,Spring barley,gdd_mj,-0.323341285906281
IPSL-CM6A-LR,-5.5,-5.3985,4,FR,Spring barley,gdd_mj,-0.366456557246665
IPSL-CM6A-LR,-4.5,-4.3046,12,FR,Spring barley,gdd_mj,-0.300105771787647
IPSL-CM6A-LR,-3.5,-3.5013,7,FR,Spring barley,gdd_mj,-0.320161959229023
IPSL-CM6A-LR,-2.5,-2.2964,6,FR,Spring barley,gdd_mj,-0.239254201485588
EC-Earth3,-4.5,-4.5546,8,HU,Spring barley,gdd_mj,-0.387771000085706
EC-Earth3,-3.5,-3.4737,8,HU,Spring barley,gdd_mj,-0.485921273382171
EC-Earth3,-2.5,-2.5448,11,HU,Spring barley,gdd_mj,-0.355074664995232
IPSL-CM6A-LR,-5.5,-5.3985,4,HU,Spring barley,gdd_mj,-0.390322034882584
IPSL-CM6A-LR,-4.5,-4.3046,12,HU,Spring barley,gdd_mj,-0.359744666699498
IPSL-CM6A-LR,-3.5,-3.5013,7,HU,Spring barley,gdd_mj,-0.320256378985115
IPSL-CM6A-LR,-2.5,-2.2964,6,HU,Spring barley,gdd_mj,-0.308163510572104
EC-Earth3,-4.5,-4.5546,8,LT,Spring barley,gdd_mj,-0.291551946493171
EC-Earth3,-3.5,-3.4737,8,LT,Spring barley,gdd_mj,-0.395932636878688
EC-Earth3,-2.5,-2.5448,11,LT,Spring barley,gdd_mj,-0.224989322433087
IPSL-CM6A-LR,-5.5,-5.3985,4,LT,Spring barley,gdd_mj,-0.423037445231639
IPSL-CM6A-LR,-4.5,-4.3046,12,LT,Spring barley,gdd_mj,-0.344219819796276
IPSL-CM6A-LR,-3.5,-3.5013,7,LT,Spring barley,gdd_mj,-0.353692524327055
IPSL-CM6A-LR,-2.5,-2.2964,6,LT,Spring barley,gdd_mj,-0.269601578174975
EC-Earth3,-4.5,-4.5546,8,LV,Spring barley,gdd_mj,-0.302045853256423
EC-Earth3,-3.5,-3.4737,8,LV,Spring barley,gdd_mj,-0.39523919106429
EC-Earth3,-2.5,-2.5448,11,LV,Spring barley,gdd_mj,-0.233612026564212
IPSL-CM6A-LR,-5.5,-5.3985,4,LV,Spring barley,gdd_mj,-0.421380868664347
IPSL-CM6A-LR,-4.5,-4.3046,12,LV,Spring barley,gdd_mj,-0.347285511243245
IPSL-CM6A-LR,-3.5,-3.5013,7,LV,Spring barley,gdd_mj,-0.355037698544131
IPSL-CM6A-LR,-2.5,-2.2964,6,LV,Spring barley,gdd_mj,-0.262547196232836
EC-Earth3,-4.5,-4.5546,8,SE,Spring barley,gdd_mj,-0.30828422253513
EC-Earth3,-3.5,-3.4737,8,SE,Spring barley,gdd_mj,-0.403220762918636
EC-Earth3,-2.5,-2.5448,11,SE,Spring barley,gdd_mj,-0.273258728631801
IPSL-CM6A-LR,-5.5,-5.3985,4,SE,Spring barley,gdd_mj,-0.363548851503956
IPSL-CM6A-LR,-4.5,-4.3046,12,SE,Spring barley,gdd_mj,-0.30509233151703
IPSL-CM6A-LR,-3.5,-3.5013,7,SE,Spring barley,gdd_mj,-0.33217852435198
IPSL-CM6A-LR,-2.5,-2.2964,6,SE,Spring barley,gdd_mj,-0.225716626817633
EC-Earth3,-4.5,-4.5546,8,SK,Spring barley,gdd_mj,-0.376344262102554
EC-Earth3,-3.5,-3.4737,8,SK,Spring barley,gdd_mj,-0.479191946480846
EC-Earth3,-2.5,-2.5448,11,SK,Spring barley,gdd_mj,-0.332479847671185
IPSL-CM6A-LR,-5.5,-5.3985,4,SK,Spring barley,gdd_mj,-0.389463490846301
IPSL-CM6A-LR,-4.5,-4.3046,12,SK,Spring barley,gdd_mj,-0.356030063148086
IPSL-CM6A-LR,-3.5,-3.5013,7,SK,Spring barley,gdd_mj,-0.326234600704434
IPSL-CM6A-LR,-2.5,-2.2964,6,SK,Spring barley,gdd_mj,-0.299150981752625
EC-Earth3,-4.5,-4.5546,8,CZ,Winter barley,gdd_mj,-0.353725847796605
EC-Earth3,-3.5,-3.4737,8,CZ,Winter barley,gdd_mj,-0.461970735835212
EC-Earth3,-2.5,-2.5448,11,CZ,Winter barley,gdd_mj,-0.314541495443704
IPSL-CM6A-LR,-5.5,-5.3985,4,CZ,Winter barley,gdd_mj,-0.390148636493564
IPSL-CM6A-LR,-4.5,-4.3046,12,CZ,Winter barley,gdd_mj,-0.355038726102575
IPSL-CM6A-LR,-3.5,-3.5013,7,CZ,Winter barley,gdd_mj,-0.355813381701974
IPSL-CM6A-LR,-2.5,-2.2964,6,CZ,Winter barley,gdd_mj,-0.288792516209592
EC-Earth3,-4.5,-4.5546,8,DE,Winter barley,gdd_mj,-0.343339938490287
EC-Earth3,-3.5,-3.4737,8,DE,Winter barley,gdd_mj,-0.436468580023233
EC-Earth3,-2.5,-2.5448,11,DE,Winter barley,gdd_mj,-0.296577318050065
IPSL-CM6A-LR,-5.5,-5.3985,4,DE,Winter barley,gdd_mj,-0.387763755433256
IPSL-CM6A-LR,-4.5,-4.3046,12,DE,Winter barley,gdd_mj,-0.327961311542324
IPSL-CM6A-LR,-3.5,-3.5013,7,DE,Winter barley,gdd_mj,-0.357959214189461
IPSL-CM6A-LR,-2.5,-2.2964,6,DE,Winter barley,gdd_mj,-0.258458304263653
EC-Earth3,-4.5,-4.5546,8,DK,Winter barley,gdd_mj,-0.316552489557191
EC-Earth3,-3.5,-3.4737,8,DK,Winter barley,gdd_mj,-0.39695544707445
EC-Earth3,-2.5,-2.5448,11,DK,Winter barley,gdd_mj,-0.276927183700096
