model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-2.5,-2.5562,17,SE,Winter barley,gdd,5.62281004291293e-05
EC-Earth3,-1.5,-1.5166,7,SE,Winter barley,gdd,-1.17529091211104e-06
IPSL-CM6A-LR,-3.5,-3.4513,9,SE,Winter barley,gdd,1.46464432916991e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,SE,Winter barley,gdd,1.08341808479186e-06
IPSL-CM6A-LR,-1.5,-1.7768,5,SE,Winter barley,gdd,7.58378375760005e-06
EC-Earth3,-3.5,-3.2771,5,SK,Winter barley,gdd,3.61764360696527e-05
EC-Earth3,-2.5,-2.5562,17,SK,Winter barley,gdd,7.81798332339031e-05
EC-Earth3,-1.5,-1.5166,7,SK,Winter barley,gdd,5.83715524150604e-06
IPSL-CM6A-LR,-3.5,-3.4513,9,SK,Winter barley,gdd,9.84631292363802e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,SK,Winter barley,gdd,8.83350013387969e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,SK,Winter barley,gdd,8.80728650681125e-05
EC-Earth3,-3.5,-3.2771,5,CZ,Soft wheat,heat,0.00336931895983493
EC-Earth3,-2.5,-2.5562,17,CZ,Soft wheat,heat,-0.00700142743120552
EC-Earth3,-1.5,-1.5166,7,CZ,Soft wheat,heat,-0.00892687876326917
IPSL-CM6A-LR,-3.5,-3.4513,9,CZ,Soft wheat,heat,-0.0102037448354636
IPSL-CM6A-LR,-2.5,-2.5185,16,CZ,Soft wheat,heat,-0.0090708378713776
IPSL-CM6A-LR,-1.5,-1.7768,5,CZ,Soft wheat,heat,-0.012048515432815
EC-Earth3,-3.5,-3.2771,5,DE,Soft wheat,heat,0.00155243079758772
EC-Earth3,-2.5,-2.5562,17,DE,Soft wheat,heat,-0.0083927239657144
EC-Earth3,-1.5,-1.5166,7,DE,Soft wheat,heat,-0.00644448312988914
IPSL-CM6A-LR,-3.5,-3.4513,9,DE,Soft wheat,heat,-0.00850468392126252
IPSL-CM6A-LR,-2.5,-2.5185,16,DE,Soft wheat,heat,-0.00511905369658012
