model,exp,cntr,year,hdd_calendar,hdd_octmar,cdd_jja
EC-Earth3,g01,EL,2000,1711.89,1537.25,423.97
EC-Earth3,g01,EL,2001,1635.23,1207.53,435.49
EC-Earth3,g01,EL,2002,1644.39,1572.02,379.53
EC-Earth3,g01,EL,2003,1814.55,1572.2,445.93
EC-Earth3,g01,EL,2004,1740.83,1519.37,327.91
EC-Earth3,g01,EL,2005,1804.39,1497.9,293.15
EC-Earth3,g01,EL,2006,1880.18,1629.5,331.27
EC-Earth3,g01,EL,2007,1675.08,1459.16,419.26
EC-Earth3,g01,EL,2008,1666.63,1535.84,374.16
EC-Earth3,g01,EL,2009,1600.02,1431.12,322.37
EC-Earth3,g01,EL,2010,1484.07,1296.62,375.33
EC-Earth3,g01,EL,2011,1887.08,1385.78,327.58
EC-Earth3,g01,EL,2012,1751.4,1771.73,455.73
EC-Earth3,g01,EL,2013,1564.37,1305.45,335.82
EC-Earth3,g01,EL,2014,1513.91,1316.58,316.83
EC-Earth3,g01,EL,2015,1732.98,1488.11,326.38
EC-Earth3,g01,EL,2016,1615.52,1319.13,372.38
EC-Earth3,g01,EL,2017,1739.35,1581.95,382.34
EC-Earth3,g01,EL,2018,1491.66,1359.59,322.61
EC-Earth3,g01,EL,2019,1587.11,1477.43,378.87
EC-Earth3,g01,EL,2020,1629.61,1318.94,319.84
EC-Earth3,g01,EL,2021,1653.43,1319.63,424.46
EC-Earth3,g01,EL,2022,1675.78,1581.35,370.4
EC-Earth3,g01,EL,2023,1477.71,1252.32,399.32
EC-Earth3,g01,EL,2024,1355.33,1133.19,523.64
EC-Earth3,g01,ES,1990,1639.67,1099.31,308.44
EC-Earth3,g01,ES,1991,1914.19,1505.88,321.29
EC-Earth3,g01,ES,1992,1820.86,1556.72,238.49
EC-Earth3,g01,ES,1993,1911.33,1436.1,255.12
EC-Earth3,g01,ES,1994,1609.37,1425.46,347.29
EC-Earth3,g01,ES,1995,1484.6,1226.86,281.79
EC-Earth3,g01,ES,1996,1703.02,1245.01,258.51
EC-Earth3,g01,ES,1997,1428.1,1235.37,224.95
EC-Earth3,g01,ES,1998,1636.91,1178.68,307.53
EC-Earth3,g01,ES,1999,1702.96,1440.74,299.81
EC-Earth3,g01,ES,2000,1658.28,1410.81,285.87
EC-Earth3,g01,ES,2001,1626.89,1229.09,308.24
EC-Earth3,g01,ES,2002,1541.36,1360.1,260.49
EC-Earth3,g01,ES,2003,1610.68,1276.14,413.93
EC-Earth3,g01,ES,2004,1734.89,1366.97,317.97
EC-Earth3,g01,ES,2005,1808.57,1509.55,339.69
EC-Earth3,g01,ES,2006,1551.38,1467.87,331.7
EC-Earth3,g01,ES,2007,1662.99,1222.15,258.27
EC-Earth3,g01,ES,2008,1708.51,1332.61,283.51
EC-Earth3,g01,ES,2009,1624.17,1491.36,353.83
EC-Earth3,g01,ES,2010,1822.04,1368.1,322.91
EC-Earth3,g01,ES,2011,1500.06,1425.94,293.05
EC-Earth3,g01,ES,2012,1731.79,1361.04,354.24
EC-Earth3,g01,ES,2013,1755.07,1366.16,303.3
EC-Earth3,g01,ES,2014,1463.46,1307.05,272.19
EC-Earth3,g01,ES,2015,1511.37,1317.29,384.27
EC-Earth3,g01,ES,2016,1563.69,1180,351.15
EC-Earth3,g01,ES,2017,1553.1,1261.28,378.57
EC-Earth3,g01,ES,2018,1641.43,1397.21,326.36
EC-Earth3,g01,ES,2019,1541.04,1257.92,344.13
EC-Earth3,g01,ES,2020,1457.13,1183.13,350.12
EC-Earth3,g01,ES,2021,1554.35,1277.89,326.7
EC-Earth3,g01,ES,2022,1376.2,1267.91,448.3
EC-Earth3,g01,ES,2023,1403.34,1125.62,406.04
