model,bin_id,delta_sv,n_years,cntr,crop,component,dln
HadGEM3-GC3-1MM,-5.5,-5.3528,4,ES,Soft wheat,gdd,-0.000185719791926372
HadGEM3-GC3-1MM,-4.5,-4.3969,4,ES,Soft wheat,gdd,-0.000255129180826003
IPSL-CM6A-LR,-9.5,-9.3401,5,ES,Soft wheat,gdd,-0.000516064933734933
IPSL-CM6A-LR,-8.5,-8.4598,8,ES,Soft wheat,gdd,-0.000454230564257895
IPSL-CM6A-LR,-7.5,-7.5255,19,ES,Soft wheat,gdd,-0.000328953307372234
IPSL-CM6A-LR,-6.5,-6.5577,11,ES,Soft wheat,gdd,-0.000379538581623005
IPSL-CM6A-LR,-5.5,-5.5623,13,ES,Soft wheat,gdd,-0.00028148230176702
IPSL-CM6A-LR,-4.5,-4.3507,11,ES,Soft wheat,gdd,-0.000125103805811763
IPSL-CM6A-LR,-3.5,-3.4644,8,ES,Soft wheat,gdd,-0.000193530333735922
IPSL-CM6A-LR,-2.5,-2.5669,9,ES,Soft wheat,gdd,-0.00027658103983946
IPSL-CM6A-LR,-1.5,-1.2909,6,ES,Soft wheat,gdd,-0.000225722806716519
IPSL-CM6A-LR,-0.5,-0.6347,8,ES,Soft wheat,gdd,1.08337922898037e-05
EC-Earth3,-9.5,-9.1554,4,FI,Soft wheat,gdd,-0.000353939308953978
EC-Earth3,-8.5,-8.4726,15,FI,Soft wheat,gdd,-0.000424780687784632
EC-Earth3,-7.5,-7.5562,20,FI,Soft wheat,gdd,-0.000399862073408331
EC-Earth3,-6.5,-6.4767,21,FI,Soft wheat,gdd,-0.000134355002687141
EC-Earth3,-5.5,-5.3342,8,FI,Soft wheat,gdd,0.00013749439002563
EC-Earth3,-4.5,-4.5495,8,FI,Soft wheat,gdd,-0.000175156644049812
EC-Earth3,-3.5,-3.3459,9,FI,Soft wheat,gdd,-0.000110994021850695
EC-Earth3,-2.5,-2.4493,5,FI,Soft wheat,gdd,-0.000151904657376506
EC-Earth3,-1.5,-1.3807,6,FI,Soft wheat,gdd,0.000201965998372325
EC-Earth3,-0.5,-0.6596,3,FI,Soft wheat,gdd,0.000192214493185983
HadGEM3-GC3-1LL,-8.5,-8.3848,12,FI,Soft wheat,gdd,-0.000272015444422959
HadGEM3-GC3-1LL,-7.5,-7.5599,19,FI,Soft wheat,gdd,-0.000226679834951818
HadGEM3-GC3-1LL,-6.5,-6.5442,24,FI,Soft wheat,gdd,-0.000223876975751905
HadGEM3-GC3-1LL,-5.5,-5.5797,10,FI,Soft wheat,gdd,2.38722186618356e-05
HadGEM3-GC3-1LL,-4.5,-4.5263,6,FI,Soft wheat,gdd,3.98335594521236e-05
HadGEM3-GC3-1LL,-3.5,-3.7835,7,FI,Soft wheat,gdd,-0.000220242688941859
HadGEM3-GC3-1LL,-2.5,-2.4504,6,FI,Soft wheat,gdd,-0.000182114625895467
HadGEM3-GC3-1LL,-1.5,-1.3098,8,FI,Soft wheat,gdd,0.000117375260336852
HadGEM3-GC3-1LL,-0.5,-0.331,6,FI,Soft wheat,gdd,0.000183490072372946
HadGEM3-GC3-1MM,-14.5,-14.3032,4,FI,Soft wheat,gdd,0.0496676195693041
HadGEM3-GC3-1MM,-13.5,-13.3931,8,FI,Soft wheat,gdd,0.0609433923065722
HadGEM3-GC3-1MM,-12.5,-12.588,13,FI,Soft wheat,gdd,0.0679897245786145
HadGEM3-GC3-1MM,-11.5,-11.5321,21,FI,Soft wheat,gdd,0.0561347770454814
HadGEM3-GC3-1MM,-10.5,-10.4803,10,FI,Soft wheat,gdd,0.0531154931182864
HadGEM3-GC3-1MM,-9.5,-9.6161,7,FI,Soft wheat,gdd,0.016289185584268
HadGEM3-GC3-1MM,-8.5,-8.6582,7,FI,Soft wheat,gdd,0.0133809165015265
HadGEM3-GC3-1MM,-7.5,-7.6345,8,FI,Soft wheat,gdd,0.00708503507319871
HadGEM3-GC3-1MM,-6.5,-6.4299,4,FI,Soft wheat,gdd,-0.000448209564238748
HadGEM3-GC3-1MM,-5.5,-5.3528,4,FI,Soft wheat,gdd,-0.000410265597252446
HadGEM3-GC3-1MM,-4.5,-4.3969,4,FI,Soft wheat,gdd,-6.38356349862678e-05
IPSL-CM6A-LR,-9.5,-9.3401,5,FI,Soft wheat,gdd,0.00587466657137771
IPSL-CM6A-LR,-8.5,-8.4598,8,FI,Soft wheat,gdd,0.0160366660382412
IPSL-CM6A-LR,-7.5,-7.5255,19,FI,Soft wheat,gdd,0.00689450677019985
IPSL-CM6A-LR,-6.5,-6.5577,11,FI,Soft wheat,gdd,0.00640163273753365
IPSL-CM6A-LR,-5.5,-5.5623,13,FI,Soft wheat,gdd,-0.000251765472845794
IPSL-CM6A-LR,-4.5,-4.3507,11,FI,Soft wheat,gdd,-0.00027285841955605
IPSL-CM6A-LR,-3.5,-3.4644,8,FI,Soft wheat,gdd,-0.000236346341953383
IPSL-CM6A-LR,-2.5,-2.5669,9,FI,Soft wheat,gdd,-0.000109206366915819
