NUTS_ID,nuts_level,crop,year,area_ha,production_t,yield_t_ha,area_source,area_ha_alt
ITH42,3,Total barley,2011,5027,24412.5,4.86,CropStatHarm,4614.66
ITH42,3,Total barley,2012,2230,10870.7,4.87,CropStatHarm,2228.46
ITH42,3,Total barley,2013,4059,19027.7,4.69,CropStatHarm,4059.33
ITH42,3,Total barley,2014,3854,18525,4.81,CropStatHarm,3862.45
ITH42,3,Total barley,2015,3409,17045,5,CropStatHarm,3350.08
ITH42,3,Total barley,2016,390,1755,4.5,CropStatHarm,388.04
ITH42,3,Total barley,2017,3570,17850,5,CropStatHarm,3568.62
ITH42,3,Total barley,2018,3701,17630,4.76,CropStatHarm,3699.55
ITH42,3,Total barley,2019,3917,19191.9,4.9,CropStatHarm,3932.76
ITH42,3,Total barley,2020,6361,26449,4.16,CropStatHarm,6296.03
ITH42,3,Total barley,2021,6514,24505.7,3.76,CropStatHarm,4107.03
ITH42,3,Total barley,2022,8684,51583,5.94,CropStatHarm,3681.76
ITH42,3,Winter barley,2006,3200,19200,6,CropStatHarm,5112.7
ITH42,3,Winter barley,2007,5500,27500,5,CropStatHarm,5329.14
FRL02,3,Durum wheat,1989,50,130,2.6,CropStatHarm,59.36
FRL02,3,Durum wheat,1990,40,152,3.8,CropStatHarm,69.17
FRL02,3,Durum wheat,1991,75,210,2.8,CropStatHarm,151.41
FRL02,3,Durum wheat,1992,90,351,3.9,CropStatHarm,159.25
FRL02,3,Durum wheat,1993,150,465,3.1,CropStatHarm,212.17
FRL02,3,Durum wheat,1994,220,594,2.7,CropStatHarm,356.63
FRL02,3,Durum wheat,1995,140,560,4,CropStatHarm,236.67
FRL02,3,Durum wheat,1996,265,1113,4.2,CropStatHarm,415.7
FRL02,3,Durum wheat,1997,385,1155,3,CropStatHarm,592.37
FRL02,3,Durum wheat,1998,300,1140,3.8,CropStatHarm,444.02
FRL02,3,Durum wheat,1999,325,1300,4,CropStatHarm,478.7
FRL02,3,Durum wheat,2000,425,1785,4.2,CropStatHarm,629.17
FRL02,3,Durum wheat,2001,561,2131.8,3.8,CropStatHarm,870.18
FRL02,3,Durum wheat,2002,761,2679.5,3.52,CropStatHarm,1070.25
FRL02,3,Durum wheat,2003,616,1964.8,3.19,CropStatHarm,920.55
FRL02,3,Durum wheat,2004,445,1997,4.49,CropStatHarm,666.17
FRL02,3,Durum wheat,2005,443,1322.1,2.98,CropStatHarm,611.08
FRL02,3,Durum wheat,2006,322,1025.8,3.19,CropStatHarm,298.78
FRL02,3,Durum wheat,2007,217,759.5,3.5,CropStatHarm,340.94
FRL02,3,Durum wheat,2008,210,735,3.5,CropStatHarm,367.91
FRL02,3,Durum wheat,2009,281,1208.3,4.3,CropStatHarm,285.32
FRL02,3,Durum wheat,2010,449,1796,4,CropStatHarm,677.15
FRL02,3,Durum wheat,2011,309,1081.5,3.5,CropStatHarm,525.61
FRL02,3,Durum wheat,2012,272,1451.2,5.34,CropStatHarm,278.05
FRL02,3,Durum wheat,2013,317,1685.5,5.32,CropStatHarm,301.16
FRL02,3,Durum wheat,2014,251,1149,4.58,CropStatHarm,247.75
FRL02,3,Durum wheat,2015,272,1210,4.45,CropStatHarm,285.66
FRL02,3,Durum wheat,2016,458,2225.9,4.86,CropStatHarm,447.73
FRL02,3,Durum wheat,2017,561,2353.8,4.2,CropStatHarm,566.12
FRL02,3,Durum wheat,2018,244,899,3.68,CropStatHarm,235.34
FRL02,3,Durum wheat,2019,131,589.5,4.5,CropStatHarm,147.79
FRL02,3,Durum wheat,2020,103,415.1,4.03,CropStatHarm,110.91
FRL02,3,Durum wheat,2021,212,873.4,4.12,CropStatHarm,168.92
FRL02,3,Durum wheat,2022,202,680.7,3.37,CropStatHarm,143.36
FRL02,3,Durum wheat,2023,186,639.9,3.44,CropStatHarm,NA
FRL02,3,Total barley,1989,5830,18650,3.2,CropStatHarm,6239.27
FRL02,3,Total barley,1990,5810,20660,3.56,CropStatHarm,6769.88
FRL02,3,Total barley,1991,6350,21455,3.38,CropStatHarm,7545.91
FRL02,3,Total barley,1992,6050,25410,4.2,CropStatHarm,7126.59
FRL02,3,Total barley,1993,5770,25965,4.5,CropStatHarm,7252.14
FRL02,3,Total barley,1994,5840,23094,3.95,CropStatHarm,6706.3
