branch,model,bin_id,component,crop,n,mean,sd,lo,hi,central
crop_gddwin,EC-Earth3,-4.5,precip2,ALL,8,-0.0205367686411715,0.0307017257337129,-0.0698910598005968,0.0209009843665403,-0.012603662428531
crop_gddwin,EC-Earth3,-4.5,frost,Durum wheat,8,0.000687589658141682,0.000389703157680058,-2.84955444749288e-06,0.0012111636393226,0.000739432507738883
crop_gddwin,EC-Earth3,-4.5,gdd,Durum wheat,8,0.00113443200511323,0.000894108377387461,-0.000288109865769973,0.00250183427348309,0.000982922414212016
crop_gddwin,EC-Earth3,-4.5,heat,Durum wheat,8,-0.00015044446083418,9.63615706071329e-05,-0.000333013849936082,-4.07884405857687e-05,-0.000125194693708501
crop_gddwin,EC-Earth3,-4.5,precip,Durum wheat,8,-0.00455716929958001,0.0719649100103672,-0.0813848785294839,0.10887380571913,-0.00678719404090926
crop_gddwin,EC-Earth3,-4.5,precip2,Durum wheat,8,-0.0114988947256921,0.0486518312333676,-0.0917755254063946,0.0358962340601426,0.00247638371388804
crop_gddwin,EC-Earth3,-4.5,frost,Soft wheat,8,-0.00229876914739106,0.00164563853237127,-0.00466845562101649,0.00077443121882763,-0.00231910473821813
crop_gddwin,EC-Earth3,-4.5,gdd,Soft wheat,8,0.000319913652108451,0.000281860971705915,-0.000172689076367376,0.00066762099288744,0.000441898211997896
crop_gddwin,EC-Earth3,-4.5,heat,Soft wheat,8,-0.0170019443858757,0.0120888507364498,-0.0403262305146022,0.00152509905066539,-0.0133684475667752
crop_gddwin,EC-Earth3,-4.5,precip,Soft wheat,8,0.0113050375628397,0.0373296815619353,-0.038345556779034,0.0669485993748197,0.0125364800525723
crop_gddwin,EC-Earth3,-4.5,precip2,Soft wheat,8,-0.0168237335776638,0.0301459935337163,-0.0630254531362623,0.0227645882425881,-0.0104687861611898
crop_gddwin,EC-Earth3,-4.5,frost,Spring barley,8,-0.0016205462293964,0.000884416249649833,-0.00296340869647555,-0.000132602586268493,-0.00140095730159824
crop_gddwin,EC-Earth3,-4.5,gdd,Spring barley,8,-0.000407997894369901,0.00033776000543244,-0.000919993155607931,0.000105497895534981,-0.000503673959125681
crop_gddwin,EC-Earth3,-4.5,heat,Spring barley,8,-0.0264980899224361,0.0291059155278492,-0.0790608921727751,0.000478848526785395,-0.0192297772382623
crop_gddwin,EC-Earth3,-4.5,precip,Spring barley,8,0.0367314759937672,0.050913080048701,-0.0280600606217762,0.123130753258732,0.039043095864187
crop_gddwin,EC-Earth3,-4.5,precip2,Spring barley,8,-0.0398645521771157,0.0352386938801235,-0.0988297312065179,0.00500662130375002,-0.0306686218486011
crop_gddwin,EC-Earth3,-4.5,frost,Winter barley,8,-0.00255350830360668,0.00119047503651056,-0.00426577305908281,-0.000615052157124556,-0.00261296364873448
crop_gddwin,EC-Earth3,-4.5,gdd,Winter barley,8,4.58433408015565e-05,5.47362853199651e-05,-5.37033701987284e-05,0.000116084252980412,6.93042664218453e-05
