NUTS_ID,cntr,crop,year,yield_t_ha,ln_yield,area_ha,production_t,gdd_aa,gdd_mj,heat_aa,heat_mj,frost_aa,frost_mj,precip_aa,precip_mj
ITH53,IT,Soft wheat,2000,5.8,1.75785791755237,17900,103820,2073.4,1632.313,198.878,96.961,0.338,3.697,236.455,271.711
ITH53,IT,Soft wheat,2001,5.89,1.7732559976635,13800,81340,2163.472,1763.907,269.025,150.369,0.938,2.539,282.039,428.776
ITH53,IT,Soft wheat,2002,5.84,1.76473079684014,10500,61350,2021.783,1654.419,182.877,139.782,0,6.175,410.866,305.02
ITH53,IT,Soft wheat,2003,5.55,1.71379792775834,9800,54340,2391.805,1848.916,459.115,266.94,3.647,7.994,156.514,178.591
ITH53,IT,Soft wheat,2004,6.13,1.81319474994812,9200,56360,2043.824,1572.756,166.615,103.263,0.108,8.557,278.802,347.471
ITH53,IT,Soft wheat,2005,5.86,1.76814960358892,9000,52710,2031.525,1675.259,173.634,154.832,0.417,10.495,312.191,246.873
ITH53,IT,Soft wheat,2006,5.86,1.76814960358892,8400,49220,2095.688,1705.724,194.159,177.229,0.626,13.091,220.925,195.288
ITH53,IT,Soft wheat,2007,5.1,1.62924053973028,10990,56068,2235.442,1835.264,202.908,150.986,0,2.859,210.368,301.299
ITH53,IT,Soft wheat,2008,5.45,1.69561560867515,12300,67070,2105.998,1642.572,191.52,109.366,0,4.314,361.778,398.992
ITH53,IT,Soft wheat,2009,5.47,1.69927861643389,10350,56600,2282.741,1793.604,246.938,139.372,0,4.565,251.534,340.581
ITH53,IT,Soft wheat,2010,6.22,1.82776990675109,10205,63443,2102.324,1681.08,177.022,131.345,0.074,10.965,399.603,401.048
ITH53,IT,Soft wheat,2011,6.34,1.84687876844913,9100,57650,2227.677,1734.653,208.629,95.059,0,6.789,201.3,286.93
ITH53,IT,Soft wheat,2012,6.44,1.86252854011626,10500,67582,2260.722,1817.491,327.7,187.667,0.67,3.019,231.584,243.213
ITH53,IT,Soft wheat,2013,6.47,1.86717610851281,10600,68290,2096.225,1591.238,217.029,133.51,0,7.392,314.744,503.17
ITH53,IT,Soft wheat,2014,6.26,1.83418018511201,10300,64450,2032.643,1677.167,102.368,76.039,0,0.473,387.68,447.378
ITH53,IT,Soft wheat,2015,6.19,1.8229350866965,10180,63024,2284.527,1827.539,284.779,197.233,1.362,5.506,244.014,270.01
ITH53,IT,Soft wheat,2016,6,1.79175946922806,10800,64800,2141.251,1700.474,183.317,125.781,0.257,3.904,248.575,312.076
ITH53,IT,Soft wheat,2017,6.1,1.80828877117927,9700,59210,2330.462,1892.088,327.287,190.634,1.438,2.481,177.025,199.77
ITH53,IT,Soft wheat,2018,6.2,1.82454929205105,10500,65100,2262.991,1753.73,190.851,105.538,0,9.505,318.521,437.905
ITH53,IT,Soft wheat,2019,6.3,1.84054963339749,10150,63958,2212.555,1746.075,215.748,146.249,0.6,3.527,517.912,498.097
ITH53,IT,Soft wheat,2020,6.12,1.81156209652423,9150,56000,2175.443,1697.239,171.608,93.134,2.533,5.525,366.538,349.804
ITH53,IT,Soft wheat,2021,7.02,1.94876321803772,10028,70439.8,2134.119,1682.896,238.857,155.299,3.882,13.842,217.052,199.032
ITH53,IT,Soft wheat,2022,6,1.79175946922806,9300,55800,2356.176,1854.412,357.967,266.779,1.14,15.459,280.864,212.49
ITH53,IT,Total barley,2000,5.7,1.7404661748405,6100,34770,2073.4,1632.313,198.878,96.961,0.338,3.697,236.455,271.711
ITH53,IT,Total barley,2001,5.73,1.74571553072665,6200,35540,2163.472,1763.907,269.025,150.369,0.938,2.539,282.039,428.776
ITH53,IT,Total barley,2002,5.36,1.67896397508271,3500,18750,2021.783,1654.419,182.877,139.782,0,6.175,410.866,305.02
ITH53,IT,Total barley,2003,5.46,1.69744878975681,2700,14740,2391.805,1848.916,459.115,266.94,3.647,7.994,156.514,178.591
ITH53,IT,Total barley,2004,5.63,1.7281094421516,2600,14640,2043.824,1572.756,166.615,103.263,0.108,8.557,278.802,347.471
ITH53,IT,Total barley,2005,4.02,1.39128190263093,2500,10040,2031.525,1675.259,173.634,154.832,0.417,10.495,312.191,246.873
ITH53,IT,Total barley,2006,5.56,1.71559810826249,2600,14450,2095.688,1705.724,194.159,177.229,0.626,13.091,220.925,195.288
ITH53,IT,Total barley,2007,5.38,1.68268837417369,2550,13730,2235.442,1835.264,202.908,150.986,0,2.859,210.368,301.299
ITH53,IT,Total barley,2008,5.27,1.66203036255327,3000,15800,2105.998,1642.572,191.52,109.366,0,4.314,361.778,398.992
ITH53,IT,Total barley,2009,5.57,1.71739505393919,2300,12800,2282.741,1793.604,246.938,139.372,0,4.565,251.534,340.581
ITH53,IT,Total barley,2010,4.08,1.40609698841607,2090,8530,2102.324,1681.08,177.022,131.345,0.074,10.965,399.603,401.048
ITH53,IT,Total barley,2011,5.64,1.72988406550997,1020,5750,2227.677,1734.653,208.629,95.059,0,6.789,201.3,286.93
ITH53,IT,Total barley,2012,5.52,1.708377860289,1060,5852,2260.722,1817.491,327.7,187.667,0.67,3.019,231.584,243.213
ITH53,IT,Total barley,2013,5.54,1.71199450075919,1150,6372,2096.225,1591.238,217.029,133.51,0,7.392,314.744,503.17
ITH53,IT,Total barley,2014,5.44,1.69377906086785,1050,5710,2032.643,1677.167,102.368,76.039,0,0.473,387.68,447.378
