model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
EC-Earth3,-3.5,-3.4737,8,SK,SVK,hdd_calendar,-0.10070811337764,Electricity
EC-Earth3,-2.5,-2.5448,11,SK,SVK,hdd_calendar,-0.0766190196895779,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,SK,SVK,hdd_calendar,-0.0945438616918661,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,SK,SVK,hdd_calendar,-0.0805198759810542,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,SK,SVK,hdd_calendar,-0.0749289424958992,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,SK,SVK,hdd_calendar,-0.0727114162853373,Electricity
EC-Earth3,-4.5,-4.5546,8,UK,GBR,hdd_calendar,-0.0741424751749196,Electricity
EC-Earth3,-3.5,-3.4737,8,UK,GBR,hdd_calendar,-0.0789598950500648,Electricity
EC-Earth3,-2.5,-2.5448,11,UK,GBR,hdd_calendar,-0.0629993015916214,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,UK,GBR,hdd_calendar,-0.0672305613857758,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,UK,GBR,hdd_calendar,-0.0608183812635698,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,UK,GBR,hdd_calendar,-0.0679031106039536,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,UK,GBR,hdd_calendar,-0.0503284102049434,Electricity
EC-Earth3,-4.5,-4.5546,8,AT,AUT,cdd_jja,0.0403039549754375,Electricity
EC-Earth3,-3.5,-3.4737,8,AT,AUT,cdd_jja,0.054786833967558,Electricity
EC-Earth3,-2.5,-2.5448,11,AT,AUT,cdd_jja,0.0372746813515288,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,AT,AUT,cdd_jja,0.0402705013755996,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,AT,AUT,cdd_jja,0.0427686609379366,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,AT,AUT,cdd_jja,0.0458388465261842,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,AT,AUT,cdd_jja,0.0344946741201537,Electricity
EC-Earth3,-4.5,-4.5546,8,BE,BEL,cdd_jja,0.0306704958586378,Electricity
EC-Earth3,-3.5,-3.4737,8,BE,BEL,cdd_jja,0.0376564972745803,Electricity
EC-Earth3,-2.5,-2.5448,11,BE,BEL,cdd_jja,0.0248066947950134,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,BE,BEL,cdd_jja,0.0288359998883903,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,BE,BEL,cdd_jja,0.02399102886207,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,BE,BEL,cdd_jja,0.0314222204912392,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,BE,BEL,cdd_jja,0.0164066136393801,Electricity
EC-Earth3,-4.5,-4.5546,8,BG,BGR,cdd_jja,0.07422163082668,Electricity
EC-Earth3,-3.5,-3.4737,8,BG,BGR,cdd_jja,0.085231398082832,Electricity
EC-Earth3,-2.5,-2.5448,11,BG,BGR,cdd_jja,0.0623389296107435,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,BG,BGR,cdd_jja,0.0623990326884183,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,BG,BGR,cdd_jja,0.0622217329708944,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,BG,BGR,cdd_jja,0.0577142202261196,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,BG,BGR,cdd_jja,0.0529538209469774,Electricity
EC-Earth3,-4.5,-4.5546,8,CY,CYP,cdd_jja,0.0600539658711019,Electricity
EC-Earth3,-3.5,-3.4737,8,CY,CYP,cdd_jja,0.0590593428063011,Electricity
EC-Earth3,-2.5,-2.5448,11,CY,CYP,cdd_jja,0.0480598689654838,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,CY,CYP,cdd_jja,0.0535275480033881,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,CY,CYP,cdd_jja,0.0532691658320199,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,CY,CYP,cdd_jja,0.056766048378825,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,CY,CYP,cdd_jja,0.0485659473473854,Electricity
EC-Earth3,-4.5,-4.5546,8,CZ,CZE,cdd_jja,0.033869392754736,Electricity
EC-Earth3,-3.5,-3.4737,8,CZ,CZE,cdd_jja,0.0507174020008424,Electricity
EC-Earth3,-2.5,-2.5448,11,CZ,CZE,cdd_jja,0.0334406894525115,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,CZ,CZE,cdd_jja,0.0374798954157231,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,CZ,CZE,cdd_jja,0.039267722087631,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,CZ,CZE,cdd_jja,0.0423653858608822,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,CZ,CZE,cdd_jja,0.0297411661953457,Electricity
EC-Earth3,-4.5,-4.5546,8,DE,DEU,cdd_jja,0.0314191237434055,Electricity
EC-Earth3,-3.5,-3.4737,8,DE,DEU,cdd_jja,0.0436095370152167,Electricity
EC-Earth3,-2.5,-2.5448,11,DE,DEU,cdd_jja,0.0286611862923667,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,DE,DEU,cdd_jja,0.0338229851533964,Electricity
