branch,model,bin_id,component,n,mean,sd,lo,hi,central
crop,EC-Earth3,-4.5,heat_mj,8,-0.00133031816496703,0.0166972283546994,-0.0359360180957536,0.0132536813495386,0.00478020554008864
crop,EC-Earth3,-4.5,precip_mj,8,-0.041468299072537,0.040422526165,-0.0909989531065597,0.0184540738484907,-0.0417584538685695
crop,EC-Earth3,-4.5,precip_mj2,8,0.0246176467903107,0.0339663632859552,-0.0292444254085199,0.0637201863698662,0.0322646402763554
crop,EC-Earth3,-3.5,frost_mj,9,-0.0386395291075411,0.0218964976344721,-0.0694582632277238,0.00247154025108034,-0.0380787713610687
crop,EC-Earth3,-3.5,gdd_mj,9,0.0700739057813636,0.0681065048109285,-0.0537841502959386,0.172206893497184,0.0740418169612967
crop,EC-Earth3,-3.5,heat_mj,9,-0.000564270581457765,0.0157337856607666,-0.0274516950226753,0.0120735064950357,0.006549513123074
crop,EC-Earth3,-3.5,precip_mj,9,-0.0222138053774924,0.0339788054244451,-0.0780785945294125,0.0503990119534213,-0.0225653591890312
crop,EC-Earth3,-3.5,precip_mj2,9,0.0101461515727494,0.0321523202426298,-0.0615133575198015,0.0581031734884494,0.0194482586412002
crop,EC-Earth3,-2.5,frost_mj,5,-0.0221050467325969,0.0245988326178635,-0.0509416133279028,0.0122837720414397,-0.0199402292606923
crop,EC-Earth3,-2.5,gdd_mj,5,0.0400881724935551,0.0456096463532149,-0.0126826359420533,0.0935634184743838,0.0434825777392889
crop,EC-Earth3,-2.5,heat_mj,5,-0.00106469803598842,0.00593202851481715,-0.0102391301893881,0.00352967212207706,0.00221240725737778
crop,EC-Earth3,-2.5,precip_mj,5,-0.0403744624120784,0.0372508638202116,-0.0933270155083201,0.00978151105917147,-0.0405841165680573
crop,EC-Earth3,-2.5,precip_mj2,5,0.024179809955079,0.0331818466532364,-0.0248882638656548,0.0655028787742823,0.0325098762885144
crop,EC-Earth3,-1.5,frost_mj,6,-0.00549440010174029,0.0108083199221832,-0.0169314702182673,0.00917503415026558,-0.00242887782298804
crop,EC-Earth3,-1.5,gdd_mj,6,0.0191233478072669,0.0373510868074414,-0.0167439479442344,0.0779394488242205,0.0210626528622368
crop,EC-Earth3,-1.5,heat_mj,6,0.00137386114204826,0.00234445127131048,-0.00106093823469557,0.00559757997494543,0.00497175965683887
crop,EC-Earth3,-1.5,precip_mj,6,-0.00566302553302943,0.0178298245719808,-0.0324327773151599,0.0201026009883782,-0.00575621484302101
crop,EC-Earth3,-1.5,precip_mj2,6,-0.00509195346521977,0.0204831568771461,-0.0297120640788887,0.026037354632348,0.00372073831169028
crop,EC-Earth3,-0.5,frost_mj,3,-0.00740041370100228,0.0117691994420215,-0.0152332224627284,0.00613365077381025,-0.00595179483105118
crop,EC-Earth3,-0.5,gdd_mj,3,-0.00759965444512856,0.0308450409746122,-0.0425269945104531,0.0159036546244617,-0.00642372665524421
crop,EC-Earth3,-0.5,heat_mj,3,-0.00814095212223328,0.00578553129105079,-0.0136608277383295,-0.00212208777207846,-0.00647277404699692
crop,EC-Earth3,-0.5,precip_mj,3,-0.0243107362553422,0.0195383738868887,-0.0396010270086974,-0.0022988476620462,-0.0244214170572742
crop,EC-Earth3,-0.5,precip_mj2,3,0.0136385042306213,0.0146527109678311,-0.00110320675645265,0.0282005631413191,0.0173710762355314
crop,IPSL-CM6A-LR,-9.5,frost_mj,5,-0.066038593643999,0.0254271765164891,-0.104820370040777,-0.041283600027604,-0.064449449841459
crop,IPSL-CM6A-LR,-9.5,gdd_mj,5,0.12640914986593,0.0350173352102199,0.088757760747909,0.17991718372638,0.132628173241729
crop,IPSL-CM6A-LR,-9.5,heat_mj,5,0.00901620729438297,0.00365663503677742,0.00419332450101584,0.0135759826157247,0.0102659785832199
crop,IPSL-CM6A-LR,-9.5,precip_mj,5,-0.0427312074579413,0.0357659756257663,-0.071981607181644,0.0102688328143975,-0.0428336158310079
crop,IPSL-CM6A-LR,-9.5,precip_mj2,5,0.0289798325153277,0.0298625393225717,-0.0164088306807838,0.0525618826922707,0.0343608170183878
crop,IPSL-CM6A-LR,-8.5,frost_mj,8,-0.0613167228052067,0.0243208610061496,-0.0907957467604619,-0.0164556823217942,-0.0605898973988018
crop,IPSL-CM6A-LR,-8.5,gdd_mj,8,0.137395158675448,0.030749165811149,0.0918569239800517,0.18970535619847,0.143073616196391
crop,IPSL-CM6A-LR,-8.5,heat_mj,8,0.00927139730946393,0.00288945941440777,0.00424164548877531,0.0116788063172352,0.010800032105009
crop,IPSL-CM6A-LR,-8.5,precip_mj,8,-0.0421437144861492,0.0134355111270949,-0.0624999407757042,-0.0174674289755618,-0.0423044119251505
crop,IPSL-CM6A-LR,-8.5,precip_mj2,8,0.0283499041192629,0.0114472814931065,0.0107766700030262,0.0454010540759015,0.0331262438719427
crop,IPSL-CM6A-LR,-7.5,frost_mj,19,-0.0524604138902031,0.019283814679872,-0.0970973703137351,-0.0177775897332221,-0.0513031686778746
crop,IPSL-CM6A-LR,-7.5,gdd_mj,19,0.106882307272625,0.0403452358011776,0.0141996949537851,0.171597801603342,0.110740712485387
crop,IPSL-CM6A-LR,-7.5,heat_mj,19,0.00596951887022729,0.00445561180921276,-0.00350671556723213,0.0127760683337166,0.00825383674654731
crop,IPSL-CM6A-LR,-7.5,precip_mj,19,-0.0486706629275057,0.0167861729729925,-0.0799113797832179,-0.0048893591018113,-0.0488476063349756
crop,IPSL-CM6A-LR,-7.5,precip_mj2,19,0.0331959908421314,0.0138032702866915,-0.00695738754666385,0.0572682515635421,0.0384521194045636
crop,IPSL-CM6A-LR,-6.5,frost_mj,11,-0.0617257646283196,0.0201339702720599,-0.0867252403604296,-0.0216840175244024,-0.0604288810054257
crop,IPSL-CM6A-LR,-6.5,gdd_mj,11,0.105725856211817,0.0443883746956632,0.00702128082984318,0.165386259334409,0.110391836905788
crop,IPSL-CM6A-LR,-6.5,heat_mj,11,0.00560362872660398,0.00454564733458928,-0.00315190342904243,0.014089849331697,0.00768766402321467
crop,IPSL-CM6A-LR,-6.5,precip_mj,11,-0.055262790869797,0.0272142180648021,-0.0981627469929925,-0.0072139213644804,-0.0555137623283011
crop,IPSL-CM6A-LR,-6.5,precip_mj2,11,0.0374027442257372,0.0218971154686842,-0.00367197994329636,0.0692176993677698,0.0436836742627855
