model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
IPSL-CM6A-LR,-3.5,-3.4513,9,RO,ROU,hdd_calendar,-0.0325334780810139,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,RO,ROU,hdd_calendar,-0.0340934403735702,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,RO,ROU,hdd_calendar,-0.0313649974362407,Electricity
EC-Earth3,-3.5,-3.2771,5,SE,SWE,hdd_calendar,-0.0362574929197115,Electricity
EC-Earth3,-2.5,-2.5562,17,SE,SWE,hdd_calendar,-0.0379604492706277,Electricity
EC-Earth3,-1.5,-1.5166,7,SE,SWE,hdd_calendar,-0.0484242333308189,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,SE,SWE,hdd_calendar,-0.0387905864402436,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,SE,SWE,hdd_calendar,-0.0437347290216961,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,SE,SWE,hdd_calendar,-0.0310996234264742,Electricity
EC-Earth3,-3.5,-3.2771,5,SI,SVN,hdd_calendar,-0.0291830706328044,Electricity
EC-Earth3,-2.5,-2.5562,17,SI,SVN,hdd_calendar,-0.0366832692843066,Electricity
EC-Earth3,-1.5,-1.5166,7,SI,SVN,hdd_calendar,-0.041495880443725,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,SI,SVN,hdd_calendar,-0.0374182945300681,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,SI,SVN,hdd_calendar,-0.0343860637724559,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,SI,SVN,hdd_calendar,-0.0343092547898567,Electricity
EC-Earth3,-3.5,-3.2771,5,SK,SVK,hdd_calendar,-0.0267386214998583,Electricity
EC-Earth3,-2.5,-2.5562,17,SK,SVK,hdd_calendar,-0.0380728576603525,Electricity
EC-Earth3,-1.5,-1.5166,7,SK,SVK,hdd_calendar,-0.0383478491015729,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,SK,SVK,hdd_calendar,-0.0390178262159897,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,SK,SVK,hdd_calendar,-0.0394881670740075,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,SK,SVK,hdd_calendar,-0.0374530924845726,Electricity
EC-Earth3,-3.5,-3.2771,5,UK,GBR,hdd_calendar,-0.0366885439608598,Electricity
EC-Earth3,-2.5,-2.5562,17,UK,GBR,hdd_calendar,-0.0351518237943169,Electricity
EC-Earth3,-1.5,-1.5166,7,UK,GBR,hdd_calendar,-0.0442229254985758,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,UK,GBR,hdd_calendar,-0.022384515793471,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,UK,GBR,hdd_calendar,-0.0218683057517171,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,UK,GBR,hdd_calendar,-0.0173849797889938,Electricity
EC-Earth3,-3.5,-3.2771,5,AT,AUT,cdd_jja,0.00659367399672289,Electricity
EC-Earth3,-2.5,-2.5562,17,AT,AUT,cdd_jja,0.0128708690880698,Electricity
EC-Earth3,-1.5,-1.5166,7,AT,AUT,cdd_jja,0.0138869513068735,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,AT,AUT,cdd_jja,0.0164098848518805,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,AT,AUT,cdd_jja,0.01418245083608,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,AT,AUT,cdd_jja,0.0140654286608976,Electricity
EC-Earth3,-3.5,-3.2771,5,BE,BEL,cdd_jja,0.00741601320316717,Electricity
EC-Earth3,-2.5,-2.5562,17,BE,BEL,cdd_jja,0.0123025504363264,Electricity
EC-Earth3,-1.5,-1.5166,7,BE,BEL,cdd_jja,0.00872026743517646,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,BE,BEL,cdd_jja,0.00904970034205424,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,BE,BEL,cdd_jja,0.00662760737439414,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,BE,BEL,cdd_jja,0.00521213191736984,Electricity
EC-Earth3,-3.5,-3.2771,5,BG,BGR,cdd_jja,0.0139801154388861,Electricity
EC-Earth3,-2.5,-2.5562,17,BG,BGR,cdd_jja,0.0175207450008637,Electricity
