model,bin_id,component,dsv_amoc,n_amoc,dln_amoc,dsv_isimip,n_isimip,dln_isimip,branch,fuel,dln_residual,pct_amoc,pct_isimip,pct_residual
IPSL-CM6A-LR,-2.5,precip2,-2.5669,9,0.0273088060538753,-2.2964,6,-0.00918460937371326,crop (spec C),,-0.0364934154275886,2.76851091510846,-0.914255968416966,-3.58355575139894
IPSL-CM6A-LR,-3.5,frost,-3.4644,8,-0.000561930126922604,-3.5013,7,0.000416521786559829,crop (spec C),,0.000978451913482433,-0.0561772273757644,0.0416608543804209,0.0978930753717355
IPSL-CM6A-LR,-3.5,gdd,-3.4644,8,-0.000174546152768234,-3.5013,7,0.000330183544893142,crop (spec C),,0.000504729697661376,-0.0174530920474814,0.0330238061479804,0.0504857095128042
IPSL-CM6A-LR,-3.5,heat,-3.4644,8,0.00152179358385554,-3.5013,7,-0.0226905641837643,crop (spec C),,-0.0242123577676198,0.152295209931075,-2.24350694208562,-2.39215900843291
IPSL-CM6A-LR,-3.5,precip,-3.4644,8,-0.0261857947288052,-3.5013,7,-0.00299847126989485,crop (spec C),,0.0231873234589104,-2.5845919899163,-0.29939803446748,2.34582393291651
IPSL-CM6A-LR,-3.5,precip2,-3.4644,8,0.0150238934031588,-3.5013,7,0.00340523596306626,crop (spec C),,-0.0116186574400925,1.51373194111872,0.341104036563178,-1.15514214888259
IPSL-CM6A-LR,-4.5,frost,-4.3507,11,-0.000419373480996366,-4.3046,12,-0.00063313450203413,crop (spec C),,-0.000213761021037764,-0.0419285556229609,-0.0632934114678241,-0.0213738175778522
IPSL-CM6A-LR,-4.5,gdd,-4.3507,11,-9.64588363039004e-05,-4.3046,12,0.000269189782222329,crop (spec C),,0.000365648618526229,-0.00964541842999322,0.0269226017042934,0.0365715476130957
IPSL-CM6A-LR,-4.5,heat,-4.3507,11,-0.00221580202602979,-4.3046,12,-0.0160586831867054,crop (spec C),,-0.0138428811606756,-0.221334894889946,-1.59304299774851,-1.37475090633209
IPSL-CM6A-LR,-4.5,precip,-4.3507,11,-0.0312510152940541,-4.3046,12,-0.00539784280620023,crop (spec C),,0.0258531724878539,-3.07677495798964,-0.538330062994596,2.61902644479151
