model,bin_id,delta_sv,n_years,component,dln,spec,branch
HadGEM3-GC3-1MM,-5.5,-5.3528,4,precip_mj2,0.0217225974444861,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-4.5,-4.3969,4,precip_mj2,0.00381923602409995,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-9.5,-9.3401,5,precip_mj2,0.0343608170183878,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-8.5,-8.4598,8,precip_mj2,0.0331262438719427,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-7.5,-7.5255,19,precip_mj2,0.0384521194045636,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-6.5,-6.5577,11,precip_mj2,0.0436836742627855,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-5.5,-5.5623,13,precip_mj2,0.0300731197701724,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-4.5,-4.3507,11,precip_mj2,0.0184291869110266,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-3.5,-3.4644,8,precip_mj2,0.0161813501842527,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-2.5,-2.5669,9,precip_mj2,0.0229878503394942,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-1.5,-1.2909,6,precip_mj2,0.00600400742890208,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-0.5,-0.6347,8,precip_mj2,0.00960206057495624,benchmark,NAHosMIP (A)
EC-Earth3,-9.5,-9.1554,4,heat_mj,0.0267941098247619,drop_gdd,NAHosMIP (A)
EC-Earth3,-8.5,-8.4726,15,heat_mj,0.0258613331883472,drop_gdd,NAHosMIP (A)
EC-Earth3,-7.5,-7.5562,20,heat_mj,0.0249742386266778,drop_gdd,NAHosMIP (A)
EC-Earth3,-6.5,-6.4767,21,heat_mj,0.0116278932329651,drop_gdd,NAHosMIP (A)
EC-Earth3,-5.5,-5.3342,8,heat_mj,0.0132558651551712,drop_gdd,NAHosMIP (A)
EC-Earth3,-4.5,-4.5495,8,heat_mj,0.0125629253520982,drop_gdd,NAHosMIP (A)
EC-Earth3,-3.5,-3.3459,9,heat_mj,0.0191242130865482,drop_gdd,NAHosMIP (A)
EC-Earth3,-2.5,-2.4493,5,heat_mj,0.00668087333325738,drop_gdd,NAHosMIP (A)
EC-Earth3,-1.5,-1.3807,6,heat_mj,0.0135565641926841,drop_gdd,NAHosMIP (A)
EC-Earth3,-0.5,-0.6596,3,heat_mj,-0.0168989467910294,drop_gdd,NAHosMIP (A)
