branch,model,bin_id,crop,n,mean,sd,lo,hi,central
crop_gddwin,IPSL-CM6A-LR,-2.5,Spring barley,6,-0.0269231138833077,0.0163684830643786,-0.0474919686415276,-0.00764968725101077,-0.00749279490154653
crop_gddwin,IPSL-CM6A-LR,-2.5,Winter barley,6,-0.00778254187566388,0.00697193544448288,-0.0202277806575497,-0.000745073559323857,0.00181684289186388
energy Electricity,EC-Earth3,-4.5,ALL,8,-0.0282593084175471,0.0114119359806131,-0.0398623546113557,-0.0131730625997477,-0.0298797818712189
energy Electricity,EC-Earth3,-3.5,ALL,8,-0.0235472081759827,0.01135510419329,-0.0400476347342651,-0.00715907122969493,-0.0261650749202897
energy Electricity,EC-Earth3,-2.5,ALL,11,-0.0222952337022653,0.0102893541674022,-0.03961898546674,-0.00230352325367955,-0.0241647333777744
energy Electricity,IPSL-CM6A-LR,-5.5,ALL,4,-0.033290409037708,0.00550369580914136,-0.0398228373841824,-0.0281435724451663,-0.0347528695374686
energy Electricity,IPSL-CM6A-LR,-4.5,ALL,12,-0.0244360006854792,0.0146574055486598,-0.0498682372712462,0.00246427761008813,-0.0268650182499663
energy Electricity,IPSL-CM6A-LR,-3.5,ALL,7,-0.0219345035923036,0.0142309977835899,-0.0395077527309315,-0.00155791241192955,-0.0241079223914506
energy Electricity,IPSL-CM6A-LR,-2.5,ALL,6,-0.0256742754522219,0.0117477786550971,-0.0341551694561444,-0.00272547877309694,-0.0275230811135696
energy Natural gas,EC-Earth3,-4.5,ALL,8,-0.107355496489444,0.0281083903593614,-0.153114591044153,-0.0584148243571523,-0.107957426499651
energy Natural gas,EC-Earth3,-3.5,ALL,8,-0.114411597051962,0.0217801037625663,-0.137290027151054,-0.0764035048984703,-0.115199573895138
energy Natural gas,EC-Earth3,-2.5,ALL,11,-0.0886904287062928,0.022204946144412,-0.115554710401683,-0.0361950843475422,-0.0893419897506293
energy Natural gas,IPSL-CM6A-LR,-5.5,ALL,4,-0.109618423421614,0.0134626809902759,-0.125022387565073,-0.0944364727736039,-0.11042288987606
energy Natural gas,IPSL-CM6A-LR,-4.5,ALL,12,-0.0935803926608773,0.0304943432849483,-0.128783974801661,-0.0174457417900085,-0.0946691136795273
energy Natural gas,IPSL-CM6A-LR,-3.5,ALL,7,-0.0925391818640172,0.0166778309129096,-0.104780430330383,-0.0569354110065062,-0.0929857367380772
energy Natural gas,IPSL-CM6A-LR,-2.5,ALL,6,-0.0832937759092094,0.0256546554705365,-0.122233173664117,-0.0453965337408991,-0.0839474577083994
