model,bin_id,delta_sv,n_years,hos_year,fuel,component,dln,branch
EC-Earth3,-6.5,-6.8501,1,45,Natural gas,hdd_octmar,0.0459991569707409,energy Natural gas
EC-Earth3,-6.5,-6.7223,1,46,Natural gas,hdd_octmar,0.0199583095345817,energy Natural gas
EC-Earth3,-5.5,-5.7248,1,47,Natural gas,hdd_octmar,0.0140607037224852,energy Natural gas
EC-Earth3,-6.5,-6.2241,1,48,Natural gas,hdd_octmar,0.0287524417921484,energy Natural gas
EC-Earth3,-5.5,-5.8453,1,49,Natural gas,hdd_octmar,0.00967723188353605,energy Natural gas
EC-Earth3,-6.5,-6.8563,1,50,Natural gas,hdd_octmar,0.0372668293668478,energy Natural gas
EC-Earth3,-7.5,-7.5461,1,51,Natural gas,hdd_octmar,0.045079671273562,energy Natural gas
EC-Earth3,-6.5,-6.3315,1,52,Natural gas,hdd_octmar,0.0175723152448515,energy Natural gas
EC-Earth3,-6.5,-6.7481,1,53,Natural gas,hdd_octmar,-0.0171513791525341,energy Natural gas
EC-Earth3,-6.5,-6.1066,1,54,Natural gas,hdd_octmar,0.0251777483543916,energy Natural gas
EC-Earth3,-6.5,-6.0168,1,55,Natural gas,hdd_octmar,0.0598009012419914,energy Natural gas
EC-Earth3,-5.5,-5.2452,1,56,Natural gas,hdd_octmar,0.0606545785671835,energy Natural gas
EC-Earth3,-7.5,-7.1289,1,57,Natural gas,hdd_octmar,0.0440099638355402,energy Natural gas
EC-Earth3,-7.5,-7.2115,1,58,Natural gas,hdd_octmar,0.0485134806013472,energy Natural gas
EC-Earth3,-7.5,-7.9509,1,59,Natural gas,hdd_octmar,0.0387964508824316,energy Natural gas
EC-Earth3,-8.5,-8.2102,1,60,Natural gas,hdd_octmar,-0.019912367309768,energy Natural gas
EC-Earth3,-6.5,-6.4442,1,61,Natural gas,hdd_octmar,0.050659419063582,energy Natural gas
