model,bin_id,delta_sv,n_years,cntr,crop,component,dln
IPSL-CM6A-LR,-4.5,-4.3046,12,ES,Spring barley,gdd,-0.000288778218835757
IPSL-CM6A-LR,-3.5,-3.5013,7,ES,Spring barley,gdd,-0.000625287700807302
IPSL-CM6A-LR,-2.5,-2.2964,6,ES,Spring barley,gdd,-0.000288579242980456
EC-Earth3,-4.5,-4.5546,8,FI,Spring barley,gdd,-0.000514242567729727
EC-Earth3,-3.5,-3.4737,8,FI,Spring barley,gdd,-0.000620363849104947
EC-Earth3,-2.5,-2.5448,11,FI,Spring barley,gdd,-0.00074980005650084
IPSL-CM6A-LR,-5.5,-5.3985,4,FI,Spring barley,gdd,-0.00080126412732742
IPSL-CM6A-LR,-4.5,-4.3046,12,FI,Spring barley,gdd,-0.000624332205221524
IPSL-CM6A-LR,-3.5,-3.5013,7,FI,Spring barley,gdd,-0.000800780281176732
IPSL-CM6A-LR,-2.5,-2.2964,6,FI,Spring barley,gdd,-0.000859754841628133
EC-Earth3,-4.5,-4.5546,8,FR,Spring barley,gdd,-0.000408760883248118
EC-Earth3,-3.5,-3.4737,8,FR,Spring barley,gdd,-0.000318622783191223
EC-Earth3,-2.5,-2.5448,11,FR,Spring barley,gdd,-0.000539970001655774
IPSL-CM6A-LR,-5.5,-5.3985,4,FR,Spring barley,gdd,0.000297204073504793
IPSL-CM6A-LR,-4.5,-4.3046,12,FR,Spring barley,gdd,-0.000265267581993873
IPSL-CM6A-LR,-3.5,-3.5013,7,FR,Spring barley,gdd,-0.000356478398211569
IPSL-CM6A-LR,-2.5,-2.2964,6,FR,Spring barley,gdd,3.79067798991686e-05
EC-Earth3,-4.5,-4.5546,8,HU,Spring barley,gdd,-0.000867065188433637
EC-Earth3,-3.5,-3.4737,8,HU,Spring barley,gdd,-0.000835025828110873
EC-Earth3,-2.5,-2.5448,11,HU,Spring barley,gdd,-0.00103997013676449
IPSL-CM6A-LR,-5.5,-5.3985,4,HU,Spring barley,gdd,-4.10289051806589e-05
IPSL-CM6A-LR,-4.5,-4.3046,12,HU,Spring barley,gdd,-0.000959438272893276
IPSL-CM6A-LR,-3.5,-3.5013,7,HU,Spring barley,gdd,-0.000977368895639603
IPSL-CM6A-LR,-2.5,-2.2964,6,HU,Spring barley,gdd,-0.000901925962621078
EC-Earth3,-4.5,-4.5546,8,LT,Spring barley,gdd,-0.000222010213867301
